2024-06-09/11:31:26		Error occured while validating Filename module 're' has no attribute 'macth'
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085614.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085615.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085616.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085617.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085618.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085619.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085620.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085621.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085622.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085623.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085624.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085625.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085626.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085627.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085628.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085629.csv
2024-06-09/11:46:02		Valid file name! File moved to GoodRaw Folder: booking_20240607_085630.csv
2024-06-09/11:49:00		Error occured while validating Filename [WinError 183] Cannot create a file when that file already exists: 'Training_Raw_files_validated/Good_Raw/'
2024-06-09/11:49:36		Valid file name! File moved to GoodRaw Folder: booking_20240607_085611.csv
2024-06-09/11:49:36		Valid file name! File moved to GoodRaw Folder: booking_20240607_085612.csv
2024-06-09/11:49:36		Valid file name! File moved to GoodRaw Folder: booking_20240607_085613.csv
2024-06-09/11:49:36		Valid file name! File moved to GoodRaw Folder: booking_20240607_085614.csv
2024-06-09/11:49:36		Valid file name! File moved to GoodRaw Folder: booking_20240607_085615.csv
2024-06-09/11:49:36		Valid file name! File moved to GoodRaw Folder: booking_20240607_085616.csv
